Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","Batt LIR2450","BatteryHolder_Keystone_3008_1x2450",113.000000,-81.000000,-90.000000,top
"C1","1 uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",123.250000,-55.000000,180.000000,top
"C2","1 uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",134.600000,-66.000000,180.000000,top
"C3","1 uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",134.000000,-58.500000,0.000000,top
"D4","SS54","D_SMA_Handsoldering",134.000000,-52.900000,-90.000000,top
"D5","TVS","D_SOD-123",106.900000,-97.800000,180.000000,top
"J1","pinhead","PinHeader_1x02_P2.54mm_Vertical",120.675000,-65.800000,-90.000000,top
"R1","100Ω","R_1206_3216Metric",118.800000,-59.900000,0.000000,top
"R2","300Ω","R_1206_3216Metric",118.800000,-62.300000,0.000000,top
"R3","300Ω","R_1206_3216Metric",108.600000,-60.000000,180.000000,top
"R4","100Ω","R_1206_3216Metric",113.600000,-60.000000,0.000000,top
"R5","300Ω","R_1206_3216Metric",103.200000,-60.000000,180.000000,top
"R6","100Ω","R_1206_3216Metric",103.200000,-62.500000,180.000000,top
"R7","1kΩ","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",131.200000,-61.900000,-90.000000,top
"R8","2.4kΩ","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",130.600000,-66.000000,0.000000,top
"RV1","Pot 5kΩ 0.25W","Potentiometer_Bourns_3314G_Vertical",118.000000,-55.000000,0.000000,top
"RV2","Pot 5kΩ 0.25W","Potentiometer_Bourns_3314G_Vertical",111.000000,-55.000000,0.000000,top
"RV3","Pot 5kΩ 0.25W","Potentiometer_Bourns_3314G_Vertical",104.000000,-55.000000,0.000000,top
"SC1","Solar_Cell","R_4020_10251Metric",162.650000,-65.500000,0.000000,top
"SW1","SW_SPDT","SW_SPDT_PCM12",126.250000,-50.525000,180.000000,top
"TH1","Thermistor_PTC","R_1812_4532Metric_Pad1.30x3.40mm_HandSolder",124.700000,-67.900000,-90.000000,top
"U1","AP2210K-ADJ","SOT-23-5",134.000000,-62.100000,90.000000,top
