Designator,Mid X,Mid Y,Layer,Rotation
BT1,113.000000,-81.000000,top,-90.000000
C1,123.250000,-55.000000,top,180.000000
C2,134.600000,-66.000000,top,180.000000
C3,134.000000,-58.500000,top,0.000000
D4,134.000000,-52.900000,top,-90.000000
D5,106.900000,-97.800000,top,180.000000
J1,120.675000,-65.800000,top,-90.000000
R1,118.800000,-59.900000,top,0.000000
R2,118.800000,-62.300000,top,0.000000
R3,108.600000,-60.000000,top,180.000000
R4,113.600000,-60.000000,top,0.000000
R5,103.200000,-60.000000,top,180.000000
R6,103.200000,-62.500000,top,180.000000
R7,131.200000,-61.900000,top,-90.000000
R8,130.600000,-66.000000,top,0.000000
RV1,118.000000,-55.000000,top,0.000000
RV2,111.000000,-55.000000,top,0.000000
RV3,104.000000,-55.000000,top,0.000000
SC1,162.650000,-65.500000,top,0.000000
SW1,126.250000,-50.525000,top,180.000000
TH1,124.700000,-67.900000,top,-90.000000
U1,134.000000,-62.100000,top,90.000000
